OFFSETS ,"['38.60', '47.43', '36.55']"
GREENS ,"['30.58', '51.13', '1.29', '51.95']"
LAST_GREENS ,"['29.92', '14.59', '17.05']"
RESULTS:,13.70,12.64,12.50

OFFSETS ,"['37.62', '17.84', '72.91']"
GREENS ,"['44.19', '51.17', '0.96', '52.27']"
LAST_GREENS ,"['16.31', '14.88', '16.73']"
RESULTS:,24.48,19.55,16.50

OFFSETS ,"['38.60', '17.44', '31.10']"
GREENS ,"['28.96', '37.07', '0.96', '51.94']"
LAST_GREENS ,"['31.54', '28.97', '17.06']"
RESULTS:,25.75,18.93,19.67

OFFSETS ,"['37.15', '51.12', '43.02']"
GREENS ,"['18.76', '50.17', '0.63', '48.07']"
LAST_GREENS ,"['41.74', '16.20', '20.93']"
RESULTS:,15.21,14.19,11.50

OFFSETS ,"['37.61', '16.89', '30.04']"
GREENS ,"['28.30', '52.06', '0.92', '50.95']"
LAST_GREENS ,"['32.20', '14.01', '18.05']"
RESULTS:,25.19,23.30,32.00

OFFSETS ,"['37.60', '47.41', '36.57']"
GREENS ,"['30.58', '50.20', '1.29', '50.74']"
LAST_GREENS ,"['29.92', '15.52', '18.26']"
RESULTS:,13.44,12.27,8.33

OFFSETS ,"['37.10', '50.94', '30.17']"
GREENS ,"['31.79', '50.16', '1.28', '48.08']"
LAST_GREENS ,"['28.71', '15.55', '20.92']"
RESULTS:,26.94,20.11,15.33

OFFSETS ,"['37.60', '17.44', '31.10']"
GREENS ,"['29.01', '36.33', '1.29', '50.81']"
LAST_GREENS ,"['31.49', '29.38', '18.19']"
RESULTS:,31.71,22.21,18.67

OFFSETS ,"['37.15', '49.92', '43.88']"
GREENS ,"['14.74', '51.27', '0.63', '52.04']"
LAST_GREENS ,"['45.76', '15.10', '16.96']"
RESULTS:,12.65,12.00,12.50

OFFSETS ,"['37.15', '51.06', '43.07']"
GREENS ,"['15.65', '50.93', '0.95', '48.07']"
LAST_GREENS ,"['44.85', '15.12', '20.93']"
RESULTS:,13.82,12.62,11.00

OFFSETS ,"['38.60', '47.43', '36.55']"
GREENS ,"['30.58', '50.19', '1.29', '51.95']"
LAST_GREENS ,"['29.92', '15.52', '17.05']"
RESULTS:,11.65,10.73,10.00

OFFSETS ,"['38.41', '51.28', '42.96']"
GREENS ,"['45.11', '50.85', '0.92', '47.94']"
LAST_GREENS ,"['15.39', '15.23', '21.06']"
RESULTS:,17.04,15.41,13.50

OFFSETS ,"['74.10', '51.06', '43.02']"
GREENS ,"['15.65', '51.09', '1.29', '48.07']"
LAST_GREENS ,"['44.85', '14.62', '20.93']"
RESULTS:,18.16,16.88,20.50

OFFSETS ,"['37.61', '17.44', '30.68']"
GREENS ,"['28.96', '51.11', '0.94', '50.80']"
LAST_GREENS ,"['31.54', '14.95', '18.20']"
RESULTS:,18.89,17.51,20.00

OFFSETS ,"['37.61', '50.75', '36.88']"
GREENS ,"['28.74', '51.16', '0.63', '52.16']"
LAST_GREENS ,"['31.76', '15.21', '16.84']"
RESULTS:,18.93,17.07,20.00

OFFSETS ,"['37.15', '51.06', '43.02']"
GREENS ,"['15.65', '50.85', '0.62', '48.07']"
LAST_GREENS ,"['44.85', '15.53', '20.93']"
RESULTS:,14.71,13.79,13.00

OFFSETS ,"['37.15', '51.12', '43.02']"
GREENS ,"['18.76', '50.17', '0.63', '48.07']"
LAST_GREENS ,"['41.74', '16.20', '20.93']"
RESULTS:,15.21,14.19,11.50

OFFSETS ,"['37.15', '51.06', '43.02']"
GREENS ,"['15.65', '50.85', '0.63', '48.07']"
LAST_GREENS ,"['44.85', '15.52', '20.93']"
RESULTS:,14.71,13.79,13.00

OFFSETS ,"['37.60', '47.41', '43.27']"
GREENS ,"['15.65', '50.20', '1.29', '50.73']"
LAST_GREENS ,"['44.85', '15.52', '18.27']"
RESULTS:,12.59,11.81,12.00

