LAST_GREENS ,"['11.98', '21.20', '30.98']"
RESULTS:,50.08,28.08,24.67

OFFSETS ,"['46.22', '30.18', '23.80']"
GREENS ,"['59.81', '38.84', '6.97', '60.75']"
LAST_GREENS ,"['0.69', '21.19', '8.25']"
RESULTS:,40.51,28.48,39.67

OFFSETS ,"['42.50', '50.18', '40.41']"
GREENS ,"['25.11', '44.99', '14.35', '55.47']"
LAST_GREENS ,"['35.39', '7.66', '13.53']"
RESULTS:,28.48,36.66,47.50

OFFSETS ,"['72.62', '23.51', '51.92']"
GREENS ,"['9.01', '59.31', '5.93', '61.44']"
LAST_GREENS ,"['51.49', '1.76', '7.56']"
RESULTS:,15.14,56.26,51.00

OFFSETS ,"['24.79', '10.83', '2.74']"
GREENS ,"['41.41', '45.35', '6.60', '60.65']"
LAST_GREENS ,"['19.09', '15.05', '8.35']"
RESULTS:,28.07,23.11,26.67

OFFSETS ,"['45.84', '23.05', '23.03']"
GREENS ,"['24.35', '45.06', '5.67', '55.98']"
LAST_GREENS ,"['36.15', '16.27', '13.02']"
RESULTS:,12.70,12.05,10.00

OFFSETS ,"['70.91', '23.92', '51.16']"
GREENS ,"['53.41', '45.75', '5.91', '60.69']"
LAST_GREENS ,"['7.09', '15.34', '8.31']"
RESULTS:,47.86,38.16,43.33

OFFSETS ,"['42.50', '49.94', '40.38']"
GREENS ,"['24.82', '44.99', '13.73', '55.31']"
LAST_GREENS ,"['35.68', '8.28', '13.69']"
RESULTS:,30.17,33.93,46.00

OFFSETS ,"['72.62', '29.77', '50.43']"
GREENS ,"['41.36', '59.94', '5.90', '61.44']"
LAST_GREENS ,"['19.14', '1.16', '7.56']"
RESULTS:,17.18,56.89,50.50

OFFSETS ,"['25.92', '29.76', '40.61']"
GREENS ,"['24.79', '45.91', '13.81', '60.58']"
LAST_GREENS ,"['35.71', '7.28', '8.42']"
RESULTS:,29.44,42.91,50.00

OFFSETS ,"['42.55', '50.18', '40.41']"
GREENS ,"['27.09', '37.59', '13.70', '37.76']"
LAST_GREENS ,"['33.41', '15.71', '31.24']"
RESULTS:,42.60,26.87,23.67

OFFSETS ,"['25.93', '30.09', '40.33']"
GREENS ,"['34.89', '47.08', '13.69', '60.26']"
LAST_GREENS ,"['25.61', '6.23', '8.74']"
RESULTS:,28.88,41.76,50.00

OFFSETS ,"['42.70', '51.02', '39.99']"
GREENS ,"['24.82', '44.99', '9.04', '55.28']"
LAST_GREENS ,"['35.68', '12.97', '13.72']"
RESULTS:,28.25,24.72,27.00

OFFSETS ,"['27.09', '23.51', '51.92']"
GREENS ,"['53.02', '59.94', '5.90', '61.44']"
LAST_GREENS ,"['7.48', '1.16', '7.56']"
RESULTS:,12.49,53.63,51.00

OFFSETS ,"['46.07', '23.05', '23.39']"
GREENS ,"['24.35', '45.36', '5.67', '56.08']"
LAST_GREENS ,"['36.15', '15.97', '12.92']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['25.94', '29.76', '40.41']"
GREENS ,"['26.32', '59.70', '6.00', '60.25']"
LAST_GREENS ,"['34.18', '1.29', '8.75']"
RESULTS:,13.31,54.46,50.50

OFFSETS ,"['24.90', '42.30', '42.09']"
GREENS ,"['59.62', '59.95', '7.00', '58.04']"
LAST_GREENS ,"['0.88', '0.04', '10.96']"
RESULTS:,5.54,68.54,49.50

OFFSETS ,"['26.29', '1.27', '40.22']"
GREENS ,"['40.86', '46.04', '5.27', '57.97']"
LAST_GREENS ,"['19.64', '15.69', '11.03']"
RESULTS:,36.72,29.88,24.00

OFFSETS ,"['24.79', '23.15', '1.11']"
GREENS ,"['41.41', '59.81', '5.90', '60.58']"
LAST_GREENS ,"['19.09', '1.29', '8.42']"
RESULTS:,13.61,52.28,51.00

OFFSETS ,"['42.70', '48.41', '2.67']"
GREENS ,"['40.05', '44.99', '9.04', '55.28']"
LAST_GREENS ,"['20.45', '12.97', '13.72']"
RESULTS:,24.36,25.06,34.00

OFFSETS ,"['73.37', '10.59', '49.76']"
GREENS ,"['40.84', '45.05', '5.95', '61.38']"
LAST_GREENS ,"['19.66', '16.00', '7.62']"
RESULTS:,41.72,39.49,36.00

OFFSETS ,"['25.93', '29.76', '41.26']"
GREENS ,"['26.29', '59.35', '6.01', '60.24']"
LAST_GREENS ,"['34.21', '1.65', '8.76']"
RESULTS:,12.29,52.48,51.00

OFFSETS ,"['45.89', '42.30', '1.62']"
GREENS ,"['58.32', '45.59', '13.44', '57.56']"
LAST_GREENS ,"['2.18', '7.97', '11.44']"
RESULTS:,22.24,32.82,49.50

OFFSETS ,"['25.96', '29.10', '1.85']"
GREENS ,"['53.50', '45.27', '5.01', '60.65']"
LAST_GREENS ,"['7.00', '16.73', '8.35']"
RESULTS:,34.20,28.32,22.50

OFFSETS ,"['27.36', '28.02', '41.02']"
GREENS ,"['40.86', '46.94', '5.04', '57.91']"
LAST_GREENS ,"['19.64', '15.02', '11.09']"
RESULTS:,15.10,15.37,16.00

OFFSETS ,"['25.94', '29.76', '40.41']"
GREENS ,"['60.10', '59.95', '6.97', '60.31']"
LAST_GREENS ,"['0.40', '0.08', '8.69']"
RESULTS:,4.67,69.41,49.50

OFFSETS ,"['24.90', '42.30', '42.09']"
GREENS ,"['25.20', '59.71', '6.04', '57.97']"
LAST_GREENS ,"['35.30', '1.25', '11.03']"
RESULTS:,11.14,47.11,51.00

OFFSETS ,"['74.14', '10.59', '1.72']"
GREENS ,"['41.03', '45.06', '6.59', '57.94']"
LAST_GREENS ,"['19.47', '15.35', '11.06']"
RESULTS:,21.77,19.08,16.50

OFFSETS ,"['45.54', '23.00', '23.03']"
GREENS ,"['24.35', '45.06', '5.67', '57.95']"
LAST_GREENS ,"['36.15', '16.27', '11.05']"
RESULTS:,15.92,14.46,16.33

OFFSETS ,"['45.84', '29.35', '42.18']"
GREENS ,"['24.35', '45.64', '5.67', '55.96']"
LAST_GREENS ,"['36.15', '15.69', '13.04']"
RESULTS:,14.79,14.70,15.50

OFFSETS ,"['27.02', '23.51', '42.04']"
GREENS ,"['53.05', '59.94', '5.90', '61.30']"
LAST_GREENS ,"['7.45', '1.16', '7.70']"
RESULTS:,10.28,60.16,50.50

OFFSETS ,"['46.77', '23.05', '23.76']"
GREENS ,"['24.02', '45.36', '5.67', '56.08']"
LAST_GREENS ,"['36.48', '15.97', '12.92']"
RESULTS:,11.26,10.48,8.67

OFFSETS ,"['46.10', '23.01', '42.09']"
GREENS ,"['59.62', '59.95', '5.69', '58.05']"
LAST_GREENS ,"['0.88', '1.36', '10.95']"
RESULTS:,11.98,47.04,51.50

OFFSETS ,"['27.80', '2.38', '52.78']"
GREENS ,"['59.62', '59.95', '7.03', '57.62']"
LAST_GREENS ,"['0.88', '0.02', '11.38']"
RESULTS:,8.50,70.12,49.50

OFFSETS ,"['46.07', '23.05', '23.69']"
GREENS ,"['24.35', '45.36', '5.67', '57.59']"
LAST_GREENS ,"['36.15', '15.97', '11.41']"
RESULTS:,14.06,12.92,15.33

OFFSETS ,"['46.07', '22.13', '23.30']"
GREENS ,"['59.62', '47.07', '7.03', '57.63']"
LAST_GREENS ,"['0.88', '12.90', '11.37']"
RESULTS:,20.09,22.59,34.50

OFFSETS ,"['45.45', '29.76', '41.92']"
GREENS ,"['23.80', '59.99', '6.97', '60.31']"
LAST_GREENS ,"['36.70', '0.04', '8.69']"
RESULTS:,4.88,69.42,49.50

OFFSETS ,"['45.85', '22.89', '41.92']"
GREENS ,"['24.34', '45.06', '5.67', '60.30']"
LAST_GREENS ,"['36.16', '16.27', '8.70']"
RESULTS:,33.99,30.11,26.00

OFFSETS ,"['23.88', '10.59', '51.42']"
GREENS ,"['40.31', '45.06', '6.63', '57.94']"
LAST_GREENS ,"['20.19', '15.31', '11.06']"
RESULTS:,29.86,25.88,23.50

OFFSETS ,"['24.52', '29.76', '40.41']"
GREENS ,"['59.44', '59.95', '6.97', '60.31']"
LAST_GREENS ,"['1.06', '0.08', '8.69']"
RESULTS:,4.91,69.32,49.50

OFFSETS ,"['46.07', '23.05', '23.63']"
GREENS ,"['24.35', '45.36', '5.67', '56.08']"
LAST_GREENS ,"['36.15', '15.97', '12.92']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['45.44', '29.93', '42.04']"
GREENS ,"['23.81', '59.99', '6.97', '55.99']"
LAST_GREENS ,"['36.69', '0.04', '13.01']"
RESULTS:,5.27,69.28,49.50

OFFSETS ,"['47.93', '42.30', '2.42']"
GREENS ,"['59.99', '59.95', '6.97', '60.28']"
LAST_GREENS ,"['0.51', '0.08', '8.72']"
RESULTS:,4.88,68.46,49.50

OFFSETS ,"['45.89', '22.80', '51.08']"
GREENS ,"['59.66', '59.90', '7.05', '57.62']"
LAST_GREENS ,"['0.84', '0.05', '11.38']"
RESULTS:,7.83,70.45,49.50

OFFSETS ,"['46.07', '23.05', '23.39']"
GREENS ,"['24.25', '45.36', '5.67', '56.08']"
LAST_GREENS ,"['36.25', '15.97', '12.92']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['44.76', '41.34', '41.07']"
GREENS ,"['41.64', '61.10', '6.60', '57.98']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['27.28', '23.03', '22.07']"
GREENS ,"['23.53', '59.98', '5.03', '60.23']"
LAST_GREENS ,"['36.97', '1.99', '8.77']"
RESULTS:,14.48,51.23,51.00

OFFSETS ,"['45.45', '29.76', '41.95']"
GREENS ,"['26.23', '59.99', '6.97', '60.31']"
LAST_GREENS ,"['34.27', '0.04', '8.69']"
RESULTS:,4.88,69.42,49.50

OFFSETS ,"['28.05', '42.04', '23.15']"
GREENS ,"['40.80', '46.07', '5.49', '55.97']"
LAST_GREENS ,"['19.70', '15.44', '13.03']"
RESULTS:,26.82,20.43,17.00

OFFSETS ,"['26.16', '42.49', '50.43']"
GREENS ,"['59.63', '44.72', '5.67', '55.98']"
LAST_GREENS ,"['0.87', '16.61', '13.02']"
RESULTS:,12.98,12.39,10.00

OFFSETS ,"['45.85', '23.06', '23.04']"
GREENS ,"['24.04', '45.36', '5.67', '56.08']"
LAST_GREENS ,"['36.46', '15.97', '12.92']"
RESULTS:,11.98,11.52,10.00

OFFSETS ,"['46.07', '23.05', '23.63']"
GREENS ,"['24.34', '45.36', '5.67', '55.98']"
LAST_GREENS ,"['36.16', '15.97', '13.02']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.07', '23.05', '23.39']"
GREENS ,"['26.67', '45.36', '5.67', '55.98']"
LAST_GREENS ,"['33.83', '15.97', '13.02']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.01', '23.05', '51.57']"
GREENS ,"['59.10', '44.68', '5.67', '55.98']"
LAST_GREENS ,"['1.40', '16.66', '13.02']"
RESULTS:,14.33,12.88,11.33

OFFSETS ,"['27.28', '23.03', '23.17']"
GREENS ,"['23.90', '46.07', '5.68', '55.97']"
LAST_GREENS ,"['36.60', '15.26', '13.03']"
RESULTS:,11.73,11.56,12.00

OFFSETS ,"['47.65', '23.05', '23.54']"
GREENS ,"['24.35', '45.23', '5.75', '55.98']"
LAST_GREENS ,"['36.15', '16.02', '13.02']"
RESULTS:,12.10,11.34,9.00

OFFSETS ,"['46.01', '23.05', '23.03']"
GREENS ,"['24.35', '45.49', '5.67', '56.07']"
LAST_GREENS ,"['36.15', '15.85', '12.93']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.07', '23.05', '23.63']"
GREENS ,"['41.26', '45.36', '5.49', '56.08']"
LAST_GREENS ,"['19.24', '16.15', '12.92']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['47.70', '42.30', '51.93']"
GREENS ,"['60.06', '59.95', '5.67', '56.06']"
LAST_GREENS ,"['0.44', '1.38', '12.94']"
RESULTS:,11.51,47.28,51.00

OFFSETS ,"['46.07', '23.30', '23.59']"
GREENS ,"['57.21', '45.36', '5.67', '61.46']"
LAST_GREENS ,"['3.29', '15.97', '7.54']"
RESULTS:,27.17,23.94,27.00

OFFSETS ,"['46.77', '23.06', '23.75']"
GREENS ,"['59.11', '60.27', '7.00', '56.08']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['47.82', '42.30', '51.98']"
GREENS ,"['59.62', '59.95', '6.97', '60.54']"
LAST_GREENS ,"['0.88', '0.08', '8.46']"
RESULTS:,4.29,69.10,49.50

OFFSETS ,"['45.85', '23.22', '23.34']"
GREENS ,"['24.35', '45.36', '5.67', '55.91']"
LAST_GREENS ,"['36.15', '15.98', '13.09']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['48.57', '42.30', '42.28']"
GREENS ,"['60.06', '59.95', '7.05', '61.36']"
LAST_GREENS ,"['0.44', '0.01', '7.64']"
RESULTS:,4.00,70.45,49.50

OFFSETS ,"['25.11', '42.25', '43.06']"
GREENS ,"['59.63', '45.40', '5.71', '61.36']"
LAST_GREENS ,"['0.87', '15.89', '7.64']"
RESULTS:,31.20,28.19,40.00

OFFSETS ,"['46.07', '42.28', '23.39']"
GREENS ,"['24.35', '60.49', '5.70', '56.08']"
LAST_GREENS ,"['36.15', '0.82', '12.92']"
RESULTS:,10.87,45.50,51.00

OFFSETS ,"['25.94', '40.26', '39.89']"
GREENS ,"['60.06', '59.95', '7.05', '61.36']"
LAST_GREENS ,"['0.44', '0.01', '7.64']"
RESULTS:,4.45,69.98,49.50

OFFSETS ,"['23.63', '42.30', '42.09']"
GREENS ,"['59.40', '59.95', '7.04', '61.32']"
LAST_GREENS ,"['1.10', '0.00', '7.68']"
RESULTS:,4.44,70.76,49.50

OFFSETS ,"['25.11', '23.07', '42.14']"
GREENS ,"['23.07', '60.85', '5.53', '61.36']"
LAST_GREENS ,"['37.43', '0.62', '7.64']"
RESULTS:,10.64,60.41,50.50

OFFSETS ,"['46.07', '41.81', '18.45']"
GREENS ,"['24.66', '45.36', '5.67', '56.20']"
LAST_GREENS ,"['35.84', '15.97', '12.80']"
RESULTS:,28.21,20.58,12.00

OFFSETS ,"['25.67', '42.30', '42.14']"
GREENS ,"['59.62', '59.95', '6.97', '61.36']"
LAST_GREENS ,"['0.88', '0.08', '7.64']"
RESULTS:,4.38,70.58,49.50

OFFSETS ,"['47.70', '23.57', '22.46']"
GREENS ,"['59.69', '59.95', '5.70', '60.28']"
LAST_GREENS ,"['0.81', '1.35', '8.72']"
RESULTS:,17.78,52.29,51.00

OFFSETS ,"['46.80', '23.81', '23.59']"
GREENS ,"['59.68', '59.95', '7.04', '61.14']"
LAST_GREENS ,"['0.82', '0.00', '7.86']"
RESULTS:,7.71,71.56,50.00

OFFSETS ,"['46.07', '23.05', '23.63']"
GREENS ,"['24.35', '45.36', '5.67', '56.08']"
LAST_GREENS ,"['36.15', '15.97', '12.92']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.00', '23.05', '23.39']"
GREENS ,"['25.00', '45.78', '5.67', '56.08']"
LAST_GREENS ,"['35.50', '15.55', '12.92']"
RESULTS:,11.22,10.68,8.33

OFFSETS ,"['46.07', '23.05', '23.63']"
GREENS ,"['24.35', '45.36', '5.67', '56.08']"
LAST_GREENS ,"['36.15', '15.97', '12.92']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.07', '23.05', '23.38']"
GREENS ,"['26.67', '45.36', '5.67', '55.98']"
LAST_GREENS ,"['33.83', '15.97', '13.02']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.01', '23.05', '23.39']"
GREENS ,"['24.35', '45.50', '5.67', '56.07']"
LAST_GREENS ,"['36.15', '15.84', '12.93']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.08', '23.05', '23.63']"
GREENS ,"['41.26', '45.36', '5.49', '55.85']"
LAST_GREENS ,"['19.24', '16.15', '13.15']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.02', '43.12', '24.15']"
GREENS ,"['59.19', '45.43', '5.66', '61.62']"
LAST_GREENS ,"['1.31', '15.91', '7.38']"
RESULTS:,35.62,32.17,32.00

OFFSETS ,"['46.07', '23.05', '23.63']"
GREENS ,"['24.01', '45.36', '5.67', '56.07']"
LAST_GREENS ,"['36.49', '15.97', '12.93']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.07', '23.05', '23.63']"
GREENS ,"['24.34', '45.36', '5.67', '55.98']"
LAST_GREENS ,"['36.16', '15.97', '13.02']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['32.80', '23.05', '24.90']"
GREENS ,"['24.35', '46.53', '4.89', '55.98']"
LAST_GREENS ,"['36.15', '15.58', '13.02']"
RESULTS:,12.62,12.19,10.00

OFFSETS ,"['46.07', '23.05', '23.39']"
GREENS ,"['24.25', '45.36', '5.67', '55.99']"
LAST_GREENS ,"['36.25', '15.97', '13.01']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.07', '23.05', '23.65']"
GREENS ,"['24.11', '45.36', '5.47', '56.08']"
LAST_GREENS ,"['36.39', '16.17', '12.92']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.07', '23.05', '23.03']"
GREENS ,"['24.35', '45.36', '5.67', '56.08']"
LAST_GREENS ,"['36.15', '15.97', '12.92']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.02', '23.05', '23.39']"
GREENS ,"['24.35', '45.35', '5.67', '56.08']"
LAST_GREENS ,"['36.15', '15.99', '12.92']"
RESULTS:,10.39,9.66,8.33

OFFSETS ,"['46.78', '23.05', '23.03']"
GREENS ,"['24.43', '60.01', '7.05', '55.72']"
LAST_GREENS ,['-1.00']
