GREENS ,"['41.28', '40.48', '6.19', '43.01']"
LAST_GREENS ,"['19.22', '20.34', '25.99']"
RESULTS:,72.82,38.65,29.67

OFFSETS ,"['72.81', '67.04', '13.70']"
GREENS ,"['57.39', '41.72', '10.52', '47.12']"
LAST_GREENS ,"['3.11', '14.76', '21.88']"
RESULTS:,22.97,20.05,16.50

OFFSETS ,"['34.90', '42.97', '16.50']"
GREENS ,"['57.70', '41.87', '10.49', '47.14']"
LAST_GREENS ,"['2.80', '14.64', '21.86']"
RESULTS:,46.94,30.17,18.67

OFFSETS ,"['33.27', '43.39', '13.70']"
GREENS ,"['57.72', '41.86', '10.52', '43.02']"
LAST_GREENS ,"['2.78', '14.62', '25.98']"
RESULTS:,53.36,31.48,24.33

OFFSETS ,"['35.40', '42.80', '36.86']"
GREENS ,"['57.77', '41.73', '10.51', '42.92']"
LAST_GREENS ,"['2.73', '14.76', '26.08']"
RESULTS:,29.04,22.41,18.00

OFFSETS ,"['35.40', '42.80', '36.86']"
GREENS ,"['58.56', '41.87', '11.01', '46.99']"
LAST_GREENS ,"['1.94', '14.12', '22.01']"
RESULTS:,22.29,19.19,18.00

OFFSETS ,"['35.40', '42.80', '14.17']"
GREENS ,"['57.70', '41.87', '10.52', '42.84']"
LAST_GREENS ,"['2.80', '14.61', '26.16']"
RESULTS:,55.75,34.25,24.00

OFFSETS ,"['35.40', '42.80', '36.86']"
GREENS ,"['58.56', '41.88', '11.01', '46.99']"
LAST_GREENS ,"['1.94', '14.12', '22.01']"
RESULTS:,22.29,19.19,18.00

OFFSETS ,"['35.40', '42.80', '36.86']"
GREENS ,"['58.56', '41.73', '11.01', '46.99']"
LAST_GREENS ,"['1.94', '14.26', '22.01']"
RESULTS:,27.78,21.83,16.00

OFFSETS ,"['35.40', '42.80', '36.86']"
GREENS ,"['58.56', '41.87', '11.01', '46.83']"
LAST_GREENS ,"['1.94', '14.12', '22.17']"
RESULTS:,22.29,19.19,18.00

OFFSETS ,"['35.40', '42.80', '37.50']"
GREENS ,"['58.56', '41.88', '11.01', '46.99']"
LAST_GREENS ,"['1.94', '14.12', '22.01']"
RESULTS:,21.85,19.04,19.00

OFFSETS ,"['73.31', '42.78', '36.70']"
GREENS ,"['57.70', '41.85', '10.56', '47.47']"
LAST_GREENS ,"['2.80', '14.60', '21.53']"
RESULTS:,27.92,23.11,22.50

OFFSETS ,"['35.40', '41.70', '36.86']"
GREENS ,"['57.70', '41.87', '10.52', '43.04']"
LAST_GREENS ,"['2.80', '14.61', '25.96']"
RESULTS:,32.23,25.60,19.00

OFFSETS ,"['35.40', '43.61', '39.50']"
GREENS ,"['57.22', '43.71', '11.01', '47.13']"
LAST_GREENS ,"['3.28', '12.28', '21.87']"
RESULTS:,27.40,24.75,35.50

OFFSETS ,"['3.92', '68.46', '13.70']"
GREENS ,"['58.11', '41.87', '10.56', '47.11']"
LAST_GREENS ,"['2.39', '14.57', '21.89']"
RESULTS:,24.66,21.91,22.00

OFFSETS ,"['35.40', '36.02', '35.55']"
GREENS ,"['58.56', '41.88', '11.01', '45.27']"
LAST_GREENS ,"['1.94', '14.12', '23.73']"
RESULTS:,25.07,21.79,24.50

OFFSETS ,"['35.41', '42.76', '40.31']"
GREENS ,"['57.21', '41.74', '10.50', '46.99']"
LAST_GREENS ,"['3.29', '14.76', '22.01']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.40', '44.73', '36.86']"
GREENS ,"['57.17', '40.51', '10.49', '47.44']"
LAST_GREENS ,"['3.33', '16.01', '21.56']"
RESULTS:,31.98,23.48,17.00

OFFSETS ,"['35.40', '42.80', '39.42']"
GREENS ,"['57.77', '41.73', '11.01', '47.47']"
LAST_GREENS ,"['2.73', '14.27', '21.53']"
RESULTS:,17.29,15.05,13.00

OFFSETS ,"['35.40', '42.80', '36.86']"
GREENS ,"['58.56', '41.74', '11.01', '46.83']"
LAST_GREENS ,"['1.94', '14.26', '22.17']"
RESULTS:,27.78,21.83,16.00

OFFSETS ,"['35.41', '42.75', '37.50']"
GREENS ,"['57.26', '41.74', '11.01', '46.99']"
LAST_GREENS ,"['3.24', '14.25', '22.01']"
RESULTS:,20.80,17.64,14.67

OFFSETS ,"['3.92', '67.32', '19.58']"
GREENS ,"['41.39', '41.78', '10.42', '47.09']"
LAST_GREENS ,"['19.11', '14.80', '21.91']"
RESULTS:,25.24,21.99,20.50

OFFSETS ,"['72.81', '42.79', '13.70']"
GREENS ,"['57.39', '41.88', '10.48', '47.12']"
LAST_GREENS ,"['3.11', '14.65', '21.88']"
RESULTS:,50.92,33.59,21.33

OFFSETS ,"['35.41', '42.75', '40.21']"
GREENS ,"['58.60', '41.73', '11.01', '46.99']"
LAST_GREENS ,"['1.90', '14.25', '22.01']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.41', '42.76', '40.31']"
GREENS ,"['57.21', '41.74', '10.50', '46.99']"
LAST_GREENS ,"['3.29', '14.76', '22.01']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.40', '42.80', '37.50']"
GREENS ,"['58.56', '41.88', '11.01', '46.99']"
LAST_GREENS ,"['1.94', '14.12', '22.01']"
RESULTS:,21.85,19.04,19.00

OFFSETS ,"['35.40', '40.06', '40.17']"
GREENS ,"['57.26', '41.73', '10.54', '47.12']"
LAST_GREENS ,"['3.24', '14.73', '21.88']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.40', '44.91', '37.65']"
GREENS ,"['57.77', '41.74', '10.52', '47.47']"
LAST_GREENS ,"['2.73', '14.74', '21.53']"
RESULTS:,28.10,21.82,15.67

OFFSETS ,"['35.40', '42.80', '39.50']"
GREENS ,"['57.19', '41.73', '11.01', '47.47']"
LAST_GREENS ,"['3.31', '14.26', '21.53']"
RESULTS:,18.40,16.14,15.50

OFFSETS ,"['34.93', '42.96', '37.54']"
GREENS ,"['57.77', '41.74', '11.00', '47.00']"
LAST_GREENS ,"['2.73', '14.26', '22.00']"
RESULTS:,21.33,17.96,17.50

OFFSETS ,"['35.40', '42.78', '36.88']"
GREENS ,"['57.78', '41.73', '10.56', '47.47']"
LAST_GREENS ,"['2.72', '14.71', '21.53']"
RESULTS:,27.78,21.83,16.00

OFFSETS ,"['35.39', '42.80', '40.17']"
GREENS ,"['57.79', '41.73', '11.04', '46.99']"
LAST_GREENS ,"['2.71', '14.23', '22.01']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.40', '40.06', '40.17']"
GREENS ,"['57.26', '41.73', '10.54', '47.12']"
LAST_GREENS ,"['3.24', '14.73', '21.88']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.41', '42.75', '40.30']"
GREENS ,"['57.21', '41.74', '11.00', '46.99']"
LAST_GREENS ,"['3.29', '14.26', '22.01']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.41', '42.76', '39.49']"
GREENS ,"['57.19', '41.73', '11.00', '47.47']"
LAST_GREENS ,"['3.31', '14.26', '21.53']"
RESULTS:,18.40,16.14,15.50

OFFSETS ,"['73.55', '42.75', '40.47']"
GREENS ,"['58.56', '41.72', '10.53', '47.46']"
LAST_GREENS ,"['1.94', '14.76', '21.54']"
RESULTS:,24.41,19.30,24.67

OFFSETS ,"['35.41', '42.76', '40.17']"
GREENS ,"['57.26', '41.74', '11.04', '46.99']"
LAST_GREENS ,"['3.24', '14.22', '22.01']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.41', '42.75', '40.21']"
GREENS ,"['58.67', '41.73', '11.01', '46.99']"
LAST_GREENS ,"['1.83', '14.25', '22.01']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.55', '42.79', '40.47']"
GREENS ,"['57.21', '41.74', '10.50', '46.99']"
LAST_GREENS ,"['3.29', '14.76', '22.01']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.40', '40.06', '40.33']"
GREENS ,"['57.21', '41.73', '10.50', '47.12']"
LAST_GREENS ,"['3.29', '14.77', '21.88']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.40', '39.89', '40.17']"
GREENS ,"['57.24', '41.73', '11.04', '46.99']"
LAST_GREENS ,"['3.26', '14.23', '22.01']"
RESULTS:,16.06,14.13,11.67

OFFSETS ,"['35.39', '42.90', '37.54']"
GREENS ,"['58.60', '41.74', '11.03', '47.12']"
LAST_GREENS ,"['1.90', '14.23', '21.88']"
RESULTS:,23.51,19.14,15.50

OFFSETS ,"['35.41', '42.80', '40.31']"
GREENS ,"['57.22', '41.73', '10.50', '46.99']"
LAST_GREENS ,"['3.28', '14.77', '22.01']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.40', '40.06', '40.17']"
GREENS ,"['57.27', '41.73', '10.54', '47.12']"
LAST_GREENS ,"['3.23', '14.73', '21.88']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.40', '40.06', '40.17']"
GREENS ,"['57.76', '41.73', '10.52', '47.11']"
LAST_GREENS ,"['2.74', '14.75', '21.89']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.40', '40.12', '51.80']"
GREENS ,"['57.76', '37.18', '10.54', '46.99']"
LAST_GREENS ,"['2.74', '19.28', '22.01']"
RESULTS:,14.64,12.28,12.67

OFFSETS ,"['44.52', '42.79', '39.76']"
GREENS ,"['57.21', '41.74', '10.50', '46.99']"
LAST_GREENS ,"['3.29', '14.76', '22.01']"
RESULTS:,19.07,16.72,16.50

OFFSETS ,"['35.41', '42.80', '40.32']"
GREENS ,"['58.71', '41.73', '10.98', '46.99']"
LAST_GREENS ,"['1.79', '14.29', '22.01']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.40', '42.79', '40.47']"
GREENS ,"['57.21', '41.74', '10.50', '46.99']"
LAST_GREENS ,"['3.29', '14.76', '22.01']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.39', '42.97', '40.16']"
GREENS ,"['57.22', '41.73', '10.50', '47.12']"
LAST_GREENS ,"['3.28', '14.77', '21.88']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.40', '40.09', '40.17']"
GREENS ,"['57.29', '41.73', '10.52', '46.99']"
LAST_GREENS ,"['3.21', '14.74', '22.01']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.38', '40.05', '39.81']"
GREENS ,"['57.75', '41.73', '10.53', '46.99']"
LAST_GREENS ,"['2.75', '14.73', '22.01']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.40', '42.74', '40.17']"
GREENS ,"['57.29', '41.73', '10.52', '46.99']"
LAST_GREENS ,"['3.21', '14.75', '22.01']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.40', '40.07', '51.59']"
GREENS ,"['57.26', '37.22', '10.52', '47.12']"
LAST_GREENS ,"['3.24', '19.26', '21.88']"
RESULTS:,14.64,12.28,12.67

OFFSETS ,"['35.41', '42.84', '40.32']"
GREENS ,"['57.81', '41.73', '10.54', '46.99']"
LAST_GREENS ,"['2.69', '14.73', '22.01']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.40', '40.02', '40.17']"
GREENS ,"['57.26', '41.73', '10.54', '47.11']"
LAST_GREENS ,"['3.24', '14.73', '21.89']"
RESULTS:,15.97,14.26,11.00

OFFSETS ,"['35.40', '40.07', '51.79']"
GREENS ,"['57.26', '37.22', '10.54', '47.12']"
LAST_GREENS ,"['3.24', '19.24', '21.88']"
RESULTS:,14.64,12.28,12.67

OFFSETS ,"['35.40', '42.84', '52.18']"
GREENS ,"['57.23', '37.18', '11.02', '46.99']"
LAST_GREENS ,"['3.27', '18.80', '22.01']"
RESULTS:,13.40,11.28,12.67

OFFSETS ,"['35.40', '40.12', '51.59']"
