GREENS ,"['9.60', '38.76', '3.85', '57.79']"
LAST_GREENS ,"['50.90', '24.39', '11.21']"
RESULTS:,27.47,19.71,30.00

OFFSETS ,"['21.42', '29.30', '24.30']"
GREENS ,"['26.20', '38.18', '13.50', '40.03']"
LAST_GREENS ,"['34.30', '15.33', '28.97']"
RESULTS:,39.94,27.36,22.00

OFFSETS ,"['25.92', '29.76', '40.70']"
GREENS ,"['52.71', '45.91', '3.13', '57.79']"
LAST_GREENS ,"['7.79', '17.96', '11.21']"
RESULTS:,13.87,13.26,9.67

OFFSETS ,"['23.07', '33.80', '51.58']"
GREENS ,"['12.04', '45.69', '3.43', '39.20']"
LAST_GREENS ,"['48.46', '17.88', '29.80']"
RESULTS:,37.16,25.53,22.00

OFFSETS ,"['21.58', '29.76', '43.39']"
GREENS ,"['9.25', '39.25', '3.30', '57.74']"
LAST_GREENS ,"['51.25', '24.45', '11.26']"
RESULTS:,17.37,14.23,20.67

OFFSETS ,"['21.44', '33.74', '43.42']"
GREENS ,"['10.16', '45.90', '3.85', '57.79']"
LAST_GREENS ,"['50.34', '17.25', '11.21']"
RESULTS:,14.51,13.82,14.00

OFFSETS ,"['21.45', '29.71', '24.93']"
GREENS ,"['9.47', '38.10', '3.74', '42.87']"
LAST_GREENS ,"['51.03', '25.16', '26.13']"
RESULTS:,27.10,19.52,21.67

OFFSETS ,"['21.44', '33.83', '43.49']"
GREENS ,"['9.18', '45.45', '3.84', '57.79']"
LAST_GREENS ,"['51.32', '17.71', '11.21']"
RESULTS:,12.74,12.02,9.00

OFFSETS ,"['21.62', '33.80', '43.52']"
GREENS ,"['12.04', '45.70', '3.43', '39.20']"
LAST_GREENS ,"['48.46', '17.88', '29.80']"
RESULTS:,33.90,23.83,20.67

OFFSETS ,"['26.41', '34.58', '51.85']"
GREENS ,"['10.22', '45.50', '13.48', '57.73']"
LAST_GREENS ,"['50.28', '8.02', '11.27']"
RESULTS:,37.25,34.49,48.50

OFFSETS ,"['21.37', '29.76', '40.83']"
GREENS ,"['52.66', '45.91', '3.13', '57.79']"
