OFFSETS ,"['21.03', '59.20', '7.74']"
GREENS ,"['34.12', '45.68', '1.09', '45.32']"
LAST_GREENS ,"['26.38', '20.24', '23.68']"
RESULTS:,11.00,9.83,9.67

OFFSETS ,"['45.14', '24.23', '23.31']"
GREENS ,"['34.13', '44.76', '1.04', '45.43']"
LAST_GREENS ,"['26.37', '21.19', '23.57']"
RESULTS:,10.46,9.37,8.33

OFFSETS ,"['45.96', '24.27', '23.31']"
GREENS ,"['34.12', '44.45', '1.03', '46.51']"
LAST_GREENS ,"['26.38', '21.52', '22.49']"
RESULTS:,10.17,9.15,9.33

OFFSETS ,"['45.72', '26.72', '23.31']"
GREENS ,"['34.13', '44.42', '1.03', '46.55']"
LAST_GREENS ,"['26.37', '21.55', '22.45']"
RESULTS:,10.12,9.08,8.67

OFFSETS ,"['42.19', '25.65', '23.31']"
GREENS ,"['34.13', '44.41', '1.09', '46.51']"
LAST_GREENS ,"['26.37', '21.50', '22.49']"
RESULTS:,10.19,9.14,8.00

OFFSETS ,"['45.13', '24.23', '23.31']"
GREENS ,"['34.13', '44.80', '1.04', '46.55']"
LAST_GREENS ,"['26.37', '21.15', '22.45']"
RESULTS:,10.75,9.58,8.67

OFFSETS ,"['45.96', '25.65', '23.31']"
GREENS ,"['34.13', '44.41', '1.03', '46.54']"
LAST_GREENS ,"['26.37', '21.55', '22.46']"
RESULTS:,9.81,8.77,8.33

OFFSETS ,"['45.13', '24.23', '23.31']"
GREENS ,"['34.13', '44.80', '1.07', '45.43']"
LAST_GREENS ,"['26.37', '21.12', '23.57']"
RESULTS:,10.46,9.37,8.33

OFFSETS ,"['45.93', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.09', '46.55']"
LAST_GREENS ,"['26.37', '20.23', '22.45']"
RESULTS:,9.88,8.99,8.33

OFFSETS ,"['45.95', '28.76', '28.93']"
GREENS ,"['34.12', '44.46', '1.08', '46.54']"
LAST_GREENS ,"['26.38', '21.46', '22.46']"
RESULTS:,11.66,10.09,11.33

OFFSETS ,"['45.13', '26.70', '23.31']"
GREENS ,"['34.13', '44.81', '1.04', '46.52']"
LAST_GREENS ,"['26.37', '21.15', '22.48']"
RESULTS:,9.82,8.92,8.00

OFFSETS ,"['42.22', '24.02', '23.31']"
GREENS ,"['34.13', '45.67', '1.09', '45.42']"
LAST_GREENS ,"['26.37', '20.25', '23.58']"
RESULTS:,11.00,9.83,9.67

OFFSETS ,"['45.13', '24.23', '23.31']"
GREENS ,"['34.13', '44.80', '1.07', '45.43']"
LAST_GREENS ,"['26.37', '21.12', '23.57']"
RESULTS:,10.46,9.37,8.33

OFFSETS ,"['42.19', '25.63', '23.31']"
GREENS ,"['34.13', '44.41', '1.09', '46.51']"
LAST_GREENS ,"['26.37', '21.50', '22.49']"
RESULTS:,10.19,9.14,8.00

OFFSETS ,"['45.88', '24.26', '23.30']"
GREENS ,"['34.13', '45.64', '1.09', '45.43']"
LAST_GREENS ,"['26.37', '20.28', '23.57']"
RESULTS:,11.02,9.94,8.00

OFFSETS ,"['42.19', '25.65', '23.31']"
GREENS ,"['34.13', '44.42', '1.09', '46.57']"
LAST_GREENS ,"['26.37', '21.50', '22.43']"
RESULTS:,10.19,9.14,8.00

OFFSETS ,"['45.76', '26.80', '23.31']"
GREENS ,"['34.13', '44.40', '1.03', '46.55']"
LAST_GREENS ,"['26.37', '21.57', '22.45']"
RESULTS:,10.12,9.08,8.67

OFFSETS ,"['45.12', '25.69', '23.31']"
GREENS ,"['34.13', '44.41', '1.09', '45.38']"
LAST_GREENS ,"['26.37', '21.50', '23.62']"
RESULTS:,10.72,9.47,9.33

OFFSETS ,"['45.88', '26.58', '23.30']"
GREENS ,"['34.13', '45.68', '1.09', '46.56']"
LAST_GREENS ,"['26.37', '20.23', '22.44']"
RESULTS:,9.88,8.99,8.33

OFFSETS ,"['45.13', '24.23', '23.31']"
GREENS ,"['34.13', '44.82', '1.07', '45.43']"
LAST_GREENS ,"['26.37', '21.11', '23.57']"
RESULTS:,10.46,9.37,8.33

OFFSETS ,"['42.19', '26.71', '23.31']"
GREENS ,"['34.13', '44.37', '1.03', '51.41']"
LAST_GREENS ,"['26.37', '21.60', '17.59']"
RESULTS:,8.63,7.86,9.00

OFFSETS ,"['45.13', '24.23', '23.31']"
GREENS ,"['34.13', '44.81', '1.04', '45.43']"
LAST_GREENS ,"['26.37', '21.15', '23.57']"
RESULTS:,10.46,9.37,8.33

OFFSETS ,"['45.80', '26.97', '23.31']"
GREENS ,"['34.13', '44.45', '1.03', '46.54']"
LAST_GREENS ,"['26.37', '21.52', '22.46']"
RESULTS:,9.85,8.82,8.33

OFFSETS ,"['42.19', '26.72', '23.31']"
GREENS ,"['34.13', '44.42', '1.03', '46.54']"
LAST_GREENS ,"['26.37', '21.55', '22.46']"
RESULTS:,9.89,8.80,8.00

OFFSETS ,"['42.51', '26.71', '23.31']"
GREENS ,"['34.13', '44.80', '1.05', '46.52']"
LAST_GREENS ,"['26.37', '21.15', '22.48']"
RESULTS:,10.21,9.28,7.67

OFFSETS ,"['45.55', '26.71', '23.31']"
GREENS ,"['34.13', '44.37', '1.03', '51.31']"
LAST_GREENS ,"['26.37', '21.60', '17.69']"
RESULTS:,9.02,8.24,8.00

OFFSETS ,"['47.28', '26.58', '23.30']"
GREENS ,"['34.13', '44.44', '1.09', '46.56']"
LAST_GREENS ,"['26.37', '21.47', '22.44']"
RESULTS:,10.21,9.08,8.67

OFFSETS ,"['42.19', '26.74', '23.31']"
GREENS ,"['34.13', '44.42', '1.04', '46.54']"
LAST_GREENS ,"['26.37', '21.54', '22.46']"
RESULTS:,9.89,8.80,8.00

OFFSETS ,"['45.10', '26.72', '23.31']"
GREENS ,"['34.13', '44.81', '1.04', '46.52']"
LAST_GREENS ,"['26.37', '21.15', '22.48']"
RESULTS:,9.82,8.92,8.00

OFFSETS ,"['45.93', '26.58', '23.31']"
GREENS ,"['33.83', '45.68', '1.03', '46.55']"
LAST_GREENS ,"['26.67', '20.29', '22.45']"
RESULTS:,9.88,8.99,8.33

OFFSETS ,"['42.22', '26.70', '23.31']"
GREENS ,"['34.13', '44.42', '1.03', '46.54']"
LAST_GREENS ,"['26.37', '21.55', '22.46']"
RESULTS:,9.89,8.80,8.00

OFFSETS ,"['45.97', '26.72', '23.31']"
GREENS ,"['34.13', '44.41', '1.08', '46.54']"
LAST_GREENS ,"['26.37', '21.50', '22.46']"
RESULTS:,10.12,9.08,8.67

OFFSETS ,"['45.55', '26.71', '23.31']"
GREENS ,"['34.13', '44.37', '1.03', '51.31']"
LAST_GREENS ,"['26.37', '21.60', '17.69']"
RESULTS:,9.02,8.24,8.00

OFFSETS ,"['45.74', '26.70', '23.31']"
GREENS ,"['34.13', '44.42', '1.03', '46.56']"
LAST_GREENS ,"['26.37', '21.55', '22.44']"
RESULTS:,10.12,9.08,8.67

OFFSETS ,"['45.98', '26.72', '23.31']"
GREENS ,"['34.13', '44.81', '1.04', '46.52']"
LAST_GREENS ,"['26.37', '21.15', '22.48']"
RESULTS:,9.49,8.58,8.33

OFFSETS ,"['42.15', '26.71', '23.31']"
GREENS ,"['34.13', '44.79', '1.03', '46.55']"
LAST_GREENS ,"['26.37', '21.18', '22.45']"
RESULTS:,10.05,9.06,8.33

OFFSETS ,"['46.15', '25.67', '23.31']"
GREENS ,"['34.13', '44.37', '1.09', '46.61']"
LAST_GREENS ,"['26.37', '21.54', '22.39']"
RESULTS:,9.81,8.77,8.33

OFFSETS ,"['45.88', '26.95', '23.30']"
GREENS ,"['34.13', '45.68', '1.09', '46.54']"
LAST_GREENS ,"['26.37', '20.23', '22.46']"
RESULTS:,9.90,9.04,8.00

OFFSETS ,"['45.96', '25.65', '23.31']"
GREENS ,"['34.13', '44.41', '1.03', '46.54']"
LAST_GREENS ,"['26.37', '21.55', '22.46']"
RESULTS:,9.81,8.77,8.33

OFFSETS ,"['42.31', '26.97', '23.30']"
GREENS ,"['34.13', '44.45', '1.03', '46.54']"
LAST_GREENS ,"['26.37', '21.52', '22.46']"
RESULTS:,10.39,9.29,8.33

OFFSETS ,"['54.91', '26.71', '23.31']"
GREENS ,"['34.13', '44.37', '1.05', '51.48']"
LAST_GREENS ,"['26.37', '21.58', '17.52']"
RESULTS:,10.17,8.91,10.67

OFFSETS ,"['51.72', '26.68', '24.60']"
GREENS ,"['34.13', '44.37', '3.58', '51.31']"
LAST_GREENS ,"['26.37', '19.05', '17.69']"
RESULTS:,9.40,8.65,8.00

OFFSETS ,"['41.06', '26.72', '24.60']"
GREENS ,"['34.13', '45.69', '1.03', '46.46']"
LAST_GREENS ,"['26.37', '20.28', '22.54']"
RESULTS:,10.54,9.55,8.33

OFFSETS ,"['41.15', '26.70', '23.31']"
GREENS ,"['30.78', '44.80', '1.05', '46.52']"
LAST_GREENS ,"['29.72', '21.15', '22.48']"
RESULTS:,9.98,9.01,7.67

OFFSETS ,"['42.18', '26.71', '23.31']"
GREENS ,"['34.13', '45.68', '1.09', '46.55']"
LAST_GREENS ,"['26.37', '20.23', '22.45']"
RESULTS:,9.75,8.80,8.33

OFFSETS ,"['42.45', '25.65', '23.31']"
GREENS ,"['34.13', '44.37', '1.09', '51.53']"
LAST_GREENS ,"['26.37', '21.54', '17.47']"
RESULTS:,9.09,8.34,8.33

OFFSETS ,"['41.01', '26.71', '23.31']"
GREENS ,"['34.13', '44.80', '1.03', '51.47']"
LAST_GREENS ,"['26.37', '21.18', '17.53']"
RESULTS:,8.43,7.83,7.67

OFFSETS ,"['46.02', '26.72', '23.31']"
GREENS ,"['34.13', '44.80', '1.04', '49.31']"
LAST_GREENS ,"['26.37', '21.16', '19.69']"
RESULTS:,9.12,8.38,8.33

OFFSETS ,"['45.51', '26.71', '23.31']"
GREENS ,"['34.13', '44.36', '1.03', '51.31']"
LAST_GREENS ,"['26.37', '21.61', '17.69']"
RESULTS:,9.02,8.24,8.00

OFFSETS ,"['51.72', '26.68', '24.60']"
GREENS ,"['34.13', '44.45', '3.80', '51.31']"
LAST_GREENS ,"['26.37', '18.75', '17.69']"
RESULTS:,9.40,8.65,8.00

OFFSETS ,"['45.55', '26.71', '23.31']"
GREENS ,"['34.13', '44.37', '1.03', '51.31']"
LAST_GREENS ,"['26.37', '21.60', '17.69']"
RESULTS:,9.02,8.24,8.00

OFFSETS ,"['45.98', '27.93', '23.31']"
GREENS ,"['29.39', '44.81', '1.05', '47.01']"
LAST_GREENS ,"['31.11', '21.14', '21.99']"
RESULTS:,9.79,8.78,8.00

OFFSETS ,"['45.54', '26.71', '23.31']"
GREENS ,"['34.13', '44.37', '1.03', '51.64']"
LAST_GREENS ,"['26.37', '21.60', '17.36']"
RESULTS:,9.02,8.24,8.00

OFFSETS ,"['42.57', '26.71', '23.31']"
GREENS ,"['34.13', '44.80', '1.09', '51.57']"
LAST_GREENS ,"['26.37', '21.12', '17.43']"
RESULTS:,8.63,8.04,8.33

OFFSETS ,"['41.07', '26.71', '23.31']"
GREENS ,"['34.14', '44.80', '1.03', '51.47']"
LAST_GREENS ,"['26.36', '21.17', '17.53']"
RESULTS:,8.43,7.83,7.67

OFFSETS ,"['42.57', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.09', '46.65']"
LAST_GREENS ,"['26.37', '20.23', '22.35']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['45.96', '26.97', '23.30']"
GREENS ,"['34.13', '44.45', '1.03', '51.64']"
LAST_GREENS ,"['26.37', '21.52', '17.36']"
RESULTS:,8.93,8.17,8.00

OFFSETS ,"['41.03', '26.71', '23.31']"
GREENS ,"['34.13', '44.80', '1.03', '46.25']"
LAST_GREENS ,"['26.37', '21.18', '22.75']"
RESULTS:,9.98,9.01,7.67

OFFSETS ,"['45.55', '26.71', '23.31']"
GREENS ,"['34.13', '44.81', '1.03', '51.31']"
LAST_GREENS ,"['26.37', '21.16', '17.69']"
RESULTS:,8.58,7.96,7.67

OFFSETS ,"['42.23', '26.71', '23.31']"
GREENS ,"['34.13', '44.37', '1.03', '51.41']"
LAST_GREENS ,"['26.37', '21.60', '17.59']"
RESULTS:,8.63,7.86,9.00

OFFSETS ,"['42.51', '26.70', '23.30']"
GREENS ,"['34.13', '44.80', '1.05', '46.52']"
LAST_GREENS ,"['26.37', '21.15', '22.48']"
RESULTS:,10.21,9.28,7.67

OFFSETS ,"['51.74', '25.65', '23.31']"
GREENS ,"['34.13', '44.37', '1.09', '51.53']"
LAST_GREENS ,"['26.37', '21.55', '17.47']"
RESULTS:,8.93,8.07,8.67

OFFSETS ,"['42.18', '26.71', '23.31']"
GREENS ,"['34.13', '44.37', '1.03', '51.41']"
LAST_GREENS ,"['26.37', '21.60', '17.59']"
RESULTS:,8.63,7.86,9.00

OFFSETS ,"['41.01', '26.71', '23.31']"
GREENS ,"['34.13', '44.80', '1.03', '51.47']"
LAST_GREENS ,"['26.37', '21.17', '17.53']"
RESULTS:,8.43,7.83,7.67

OFFSETS ,"['42.92', '26.68', '26.38']"
GREENS ,"['34.13', '44.45', '3.75', '51.31']"
LAST_GREENS ,"['26.37', '18.80', '17.69']"
RESULTS:,9.38,8.67,8.67

OFFSETS ,"['42.57', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.08', '46.65']"
LAST_GREENS ,"['26.37', '20.23', '22.35']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['41.04', '26.71', '23.31']"
GREENS ,"['34.13', '45.68', '1.08', '46.65']"
LAST_GREENS ,"['26.37', '20.23', '22.35']"
RESULTS:,9.85,8.90,8.00

OFFSETS ,"['45.66', '26.70', '23.31']"
GREENS ,"['30.78', '44.80', '1.05', '46.52']"
LAST_GREENS ,"['29.72', '21.15', '22.48']"
RESULTS:,9.49,8.58,8.33

OFFSETS ,"['41.05', '26.71', '23.31']"
GREENS ,"['34.13', '44.80', '1.03', '46.46']"
LAST_GREENS ,"['26.37', '21.18', '22.54']"
RESULTS:,9.98,9.01,7.67

OFFSETS ,"['41.01', '26.71', '23.31']"
GREENS ,"['34.13', '44.80', '1.03', '51.30']"
LAST_GREENS ,"['26.37', '21.18', '17.70']"
RESULTS:,8.43,7.83,7.67

OFFSETS ,"['40.96', '26.71', '23.31']"
GREENS ,"['34.13', '44.80', '1.03', '46.54']"
LAST_GREENS ,"['26.37', '21.17', '22.46']"
RESULTS:,9.98,9.01,7.67

OFFSETS ,"['41.14', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.03', '46.55']"
LAST_GREENS ,"['26.37', '20.29', '22.45']"
RESULTS:,9.85,8.90,8.00

OFFSETS ,"['42.57', '26.71', '23.31']"
GREENS ,"['34.13', '44.80', '1.08', '46.68']"
LAST_GREENS ,"['26.37', '21.12', '22.32']"
RESULTS:,10.21,9.28,7.67

OFFSETS ,"['41.01', '26.71', '23.31']"
GREENS ,"['34.13', '44.80', '1.03', '51.47']"
LAST_GREENS ,"['26.37', '21.17', '17.53']"
RESULTS:,8.43,7.83,7.67

OFFSETS ,"['42.62', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.08', '51.58']"
LAST_GREENS ,"['26.37', '20.23', '17.42']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['42.49', '26.71', '24.61']"
GREENS ,"['34.13', '44.80', '1.09', '51.52']"
LAST_GREENS ,"['26.37', '21.11', '17.48']"
RESULTS:,8.42,7.77,8.33

OFFSETS ,"['40.84', '26.71', '23.31']"
GREENS ,"['33.42', '44.80', '1.03', '51.44']"
LAST_GREENS ,"['27.08', '21.17', '17.56']"
RESULTS:,8.59,7.93,8.00

OFFSETS ,"['41.43', '26.71', '23.31']"
GREENS ,"['34.13', '45.69', '1.08', '51.37']"
LAST_GREENS ,"['26.37', '20.22', '17.63']"
RESULTS:,8.42,7.75,8.00

OFFSETS ,"['41.00', '26.71', '23.31']"
GREENS ,"['34.13', '44.73', '1.09', '51.86']"
LAST_GREENS ,"['26.37', '21.19', '17.14']"
RESULTS:,8.56,7.88,7.67

OFFSETS ,"['40.96', '26.58', '23.32']"
GREENS ,"['34.13', '45.68', '1.09', '51.23']"
LAST_GREENS ,"['26.37', '20.23', '17.77']"
RESULTS:,8.45,7.85,8.00

OFFSETS ,"['41.03', '26.71', '23.31']"
GREENS ,"['34.13', '44.80', '1.03', '51.47']"
LAST_GREENS ,"['26.37', '21.18', '17.53']"
RESULTS:,8.43,7.83,7.67

OFFSETS ,"['41.05', '26.71', '24.61']"
GREENS ,"['34.13', '44.80', '1.08', '51.41']"
LAST_GREENS ,"['26.37', '21.12', '17.59']"
RESULTS:,8.32,7.66,7.67

OFFSETS ,"['42.73', '26.71', '24.61']"
GREENS ,"['34.13', '44.80', '1.03', '51.25']"
LAST_GREENS ,"['26.37', '21.18', '17.75']"
RESULTS:,8.42,7.77,8.33

OFFSETS ,"['42.59', '26.58', '23.31']"
GREENS ,"['36.88', '45.68', '1.08', '51.69']"
LAST_GREENS ,"['23.62', '20.23', '17.31']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['40.99', '26.71', '23.31']"
GREENS ,"['34.13', '44.80', '4.98', '51.47']"
LAST_GREENS ,"['26.37', '17.22', '17.53']"
RESULTS:,9.66,8.97,8.00

OFFSETS ,"['41.43', '26.71', '23.31']"
GREENS ,"['34.13', '45.69', '1.03', '51.37']"
LAST_GREENS ,"['26.37', '20.28', '17.63']"
RESULTS:,8.42,7.75,8.00

OFFSETS ,"['41.03', '26.71', '23.31']"
GREENS ,"['34.13', '44.80', '1.03', '51.46']"
LAST_GREENS ,"['26.37', '21.18', '17.54']"
RESULTS:,8.43,7.83,7.67

OFFSETS ,"['42.62', '26.58', '23.31']"
GREENS ,"['34.13', '45.75', '1.09', '51.58']"
LAST_GREENS ,"['26.37', '20.16', '17.42']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['41.01', '26.58', '23.31']"
GREENS ,"['34.13', '44.80', '1.05', '51.57']"
LAST_GREENS ,"['26.37', '21.14', '17.43']"
RESULTS:,8.43,7.83,7.67

OFFSETS ,"['41.43', '26.58', '23.31']"
GREENS ,"['34.13', '45.69', '1.03', '46.21']"
LAST_GREENS ,"['26.37', '20.28', '22.79']"
RESULTS:,10.55,9.51,8.67

OFFSETS ,"['41.05', '26.71', '24.61']"
GREENS ,"['34.13', '44.80', '1.08', '51.41']"
LAST_GREENS ,"['26.37', '21.11', '17.59']"
RESULTS:,8.32,7.66,7.67

OFFSETS ,"['41.01', '26.71', '24.62']"
GREENS ,"['34.13', '44.80', '1.03', '51.41']"
LAST_GREENS ,"['26.37', '21.17', '17.59']"
RESULTS:,8.32,7.66,7.67

OFFSETS ,"['42.57', '26.58', '23.31']"
GREENS ,"['34.13', '45.75', '1.03', '46.65']"
LAST_GREENS ,"['26.37', '20.22', '22.35']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['41.05', '26.71', '24.61']"
GREENS ,"['34.13', '44.80', '1.03', '51.41']"
LAST_GREENS ,"['26.37', '21.17', '17.59']"
RESULTS:,8.32,7.66,7.67

OFFSETS ,"['42.53', '26.58', '23.31']"
GREENS ,"['34.13', '45.75', '1.03', '51.30']"
LAST_GREENS ,"['26.37', '20.22', '17.70']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['42.59', '26.58', '23.59']"
GREENS ,"['34.13', '45.68', '1.08', '46.65']"
LAST_GREENS ,"['26.37', '20.23', '22.35']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.53', '26.58', '25.63']"
GREENS ,"['36.90', '45.67', '1.03', '51.31']"
LAST_GREENS ,"['23.60', '20.30', '17.69']"
RESULTS:,8.52,7.96,7.67

OFFSETS ,"['42.59', '26.58', '23.31']"
GREENS ,"['34.11', '45.68', '1.08', '51.68']"
LAST_GREENS ,"['26.39', '20.24', '17.32']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['42.55', '26.71', '24.61']"
GREENS ,"['34.13', '44.80', '1.03', '51.41']"
LAST_GREENS ,"['26.37', '21.17', '17.59']"
RESULTS:,8.42,7.77,8.33

OFFSETS ,"['41.05', '26.72', '23.23']"
GREENS ,"['34.13', '45.73', '1.03', '51.31']"
LAST_GREENS ,"['26.37', '20.24', '17.69']"
RESULTS:,8.65,8.07,7.67

OFFSETS ,"['42.62', '26.72', '23.31']"
GREENS ,"['34.13', '45.68', '1.09', '46.61']"
LAST_GREENS ,"['26.37', '20.23', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['41.02', '26.57', '23.31']"
GREENS ,"['34.13', '45.68', '1.09', '51.26']"
LAST_GREENS ,"['26.37', '20.23', '17.74']"
RESULTS:,8.65,8.07,7.67

OFFSETS ,"['41.01', '26.72', '24.62']"
GREENS ,"['34.13', '44.78', '1.08', '51.30']"
LAST_GREENS ,"['26.37', '21.14', '17.70']"
RESULTS:,8.32,7.66,7.67

OFFSETS ,"['42.62', '26.58', '23.31']"
GREENS ,"['34.13', '45.75', '1.03', '51.58']"
LAST_GREENS ,"['26.37', '20.22', '17.42']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['42.62', '26.71', '23.31']"
GREENS ,"['34.13', '45.71', '1.03', '51.41']"
LAST_GREENS ,"['26.37', '20.26', '17.59']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['41.05', '26.71', '24.61']"
GREENS ,"['34.13', '44.80', '1.08', '51.41']"
LAST_GREENS ,"['26.37', '21.11', '17.59']"
RESULTS:,8.32,7.66,7.67

OFFSETS ,"['41.05', '26.58', '23.27']"
GREENS ,"['34.13', '45.73', '1.03', '51.41']"
LAST_GREENS ,"['26.37', '20.24', '17.59']"
RESULTS:,8.65,8.07,7.67

OFFSETS ,"['41.03', '26.71', '23.32']"
GREENS ,"['34.13', '45.74', '1.08', '51.41']"
LAST_GREENS ,"['26.37', '20.17', '17.59']"
RESULTS:,8.65,8.07,7.67

OFFSETS ,"['42.62', '26.58', '23.31']"
GREENS ,"['34.13', '45.75', '1.03', '51.58']"
LAST_GREENS ,"['26.37', '20.22', '17.42']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['41.04', '26.71', '23.31']"
GREENS ,"['34.13', '44.79', '1.03', '51.30']"
LAST_GREENS ,"['26.37', '21.18', '17.70']"
RESULTS:,8.43,7.83,7.67

OFFSETS ,"['42.62', '26.70', '24.66']"
GREENS ,"['34.13', '44.82', '1.09', '51.58']"
LAST_GREENS ,"['26.37', '21.09', '17.42']"
RESULTS:,8.42,7.77,8.33

OFFSETS ,"['42.64', '26.58', '24.60']"
GREENS ,"['34.13', '44.81', '1.09', '51.58']"
LAST_GREENS ,"['26.37', '21.10', '17.42']"
RESULTS:,8.42,7.77,8.33

OFFSETS ,"['41.01', '26.71', '24.62']"
GREENS ,"['34.13', '45.66', '1.08', '51.41']"
LAST_GREENS ,"['26.37', '20.26', '17.59']"
RESULTS:,8.44,7.80,7.67

OFFSETS ,"['42.59', '28.82', '23.31']"
GREENS ,"['34.11', '45.68', '1.08', '51.68']"
LAST_GREENS ,"['26.39', '20.23', '17.32']"
RESULTS:,9.54,8.59,9.67

OFFSETS ,"['42.59', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.08', '51.69']"
LAST_GREENS ,"['26.37', '20.23', '17.31']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['41.03', '26.71', '24.53']"
GREENS ,"['34.11', '45.69', '1.08', '51.68']"
LAST_GREENS ,"['26.39', '20.23', '17.32']"
RESULTS:,8.44,7.80,7.67

OFFSETS ,"['41.01', '26.71', '23.30']"
GREENS ,"['34.13', '44.80', '1.09', '51.34']"
LAST_GREENS ,"['26.37', '21.11', '17.66']"
RESULTS:,8.43,7.83,7.67

OFFSETS ,"['42.58', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.03', '46.05']"
LAST_GREENS ,"['26.37', '20.29', '22.95']"
RESULTS:,10.79,9.67,8.67

OFFSETS ,"['41.00', '26.71', '24.62']"
GREENS ,"['34.13', '44.79', '1.08', '51.41']"
LAST_GREENS ,"['26.37', '21.13', '17.59']"
RESULTS:,8.32,7.66,7.67

OFFSETS ,"['42.57', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.09', '51.39']"
LAST_GREENS ,"['26.37', '20.23', '17.61']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['42.47', '26.71', '24.70']"
GREENS ,"['34.13', '45.67', '1.03', '51.30']"
LAST_GREENS ,"['26.37', '20.30', '17.70']"
RESULTS:,8.39,7.74,8.33

OFFSETS ,"['42.62', '26.72', '23.31']"
GREENS ,"['34.11', '45.68', '1.09', '46.61']"
LAST_GREENS ,"['26.39', '20.23', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.58', '24.60']"
GREENS ,"['34.13', '45.70', '1.03', '46.32']"
LAST_GREENS ,"['26.37', '20.28', '22.68']"
RESULTS:,10.79,9.73,9.00

OFFSETS ,"['42.59', '26.58', '23.59']"
GREENS ,"['34.13', '45.68', '1.09', '46.74']"
LAST_GREENS ,"['26.37', '20.23', '22.26']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.62', '26.58', '23.31']"
GREENS ,"['34.13', '45.68', '1.09', '46.61']"
LAST_GREENS ,"['26.37', '20.23', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['41.05', '26.70', '23.32']"
GREENS ,"['34.13', '44.78', '1.08', '51.35']"
LAST_GREENS ,"['26.37', '21.14', '17.65']"
RESULTS:,8.43,7.83,7.67

OFFSETS ,"['42.59', '26.58', '23.30']"
GREENS ,"['34.13', '45.63', '1.08', '51.60']"
LAST_GREENS ,"['26.37', '20.29', '17.40']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['42.59', '26.72', '23.31']"
GREENS ,"['34.11', '45.68', '1.08', '51.68']"
LAST_GREENS ,"['26.39', '20.23', '17.32']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['40.99', '26.71', '24.62']"
GREENS ,"['34.13', '44.80', '1.08', '51.41']"
LAST_GREENS ,"['26.37', '21.12', '17.59']"
RESULTS:,8.32,7.66,7.67

OFFSETS ,"['42.60', '26.58', '23.31']"
GREENS ,"['34.11', '45.68', '1.08', '51.68']"
LAST_GREENS ,"['26.39', '20.23', '17.32']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['42.59', '26.58', '23.59']"
GREENS ,"['34.13', '45.68', '1.09', '51.34']"
LAST_GREENS ,"['26.37', '20.23', '17.66']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['42.62', '26.58', '23.31']"
GREENS ,"['34.11', '45.68', '1.08', '51.68']"
LAST_GREENS ,"['26.39', '20.24', '17.32']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['42.57', '26.58', '23.31']"
GREENS ,"['34.13', '45.66', '1.09', '51.57']"
LAST_GREENS ,"['26.37', '20.26', '17.43']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['42.58', '26.71', '23.30']"
GREENS ,"['34.13', '45.68', '1.09', '46.61']"
LAST_GREENS ,"['26.37', '20.23', '22.39']"
RESULTS:,9.68,8.84,7.33

OFFSETS ,"['42.58', '26.58', '23.31']"
GREENS ,"['34.11', '45.68', '1.03', '51.68']"
LAST_GREENS ,"['26.39', '20.29', '17.32']"
RESULTS:,8.29,7.76,8.00

OFFSETS ,"['49.91', '26.58', '23.31']"
GREENS ,"['34.13', '46.44', '1.09', '51.48']"
LAST_GREENS ,"['26.37', '19.48', '17.52']"
